Title;title_year;budget;Gross;actor_1_name;actor_2_name;actor_3_name;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;IMDb_rating;genre_1;genre_2;genre_3;MetaCritic;Runtime;CVotes10;CVotes09;CVotes08;CVotes07;CVotes06;CVotes05;CVotes04;CVotes03;CVotes02;CVotes01;CVotesMale;CVotesFemale;content_rating;Country
La La Land;2016;30000000;151101803;Ryan Gosling;Emma Stone;Amiée Conn;14000;19000;;8.2;Comedy;Drama;Music;93;128;74245;71191;64640;38831;17377;8044;3998;2839;2407;6802;157693;56713;PG-13;USA
Zootopia;2016;150000000;341268248;Ginnifer Goodwin;Jason Bateman;Idris Elba;2800;28000;27000;8.1;Animation;Adventure;Comedy;78;108;53626;70912;102352;57261;16719;4539;1467;733;496;1386;176202;52345;PG;USA
Lion;2016;12000000;51738905;Dev Patel;Nicole Kidman;Rooney Mara;33000;96000;9800;8.1;Biography;Drama;;69;118;23325;29830;40564;20296;5842;1669;558;309;182;493;68921;24977;PG-13;Australia
Arrival;2016;47000000;100546139;Amy Adams;Jeremy Renner;Forest Whitaker;35000;5300;;8;Drama;Mystery;Sci-Fi;81;116;55533;87850;109536;65440;26913;10556;5057;3083;2194;4734;237437;46272;PG-13;USA
Manchester by the Sea;2016;9000000;47695371;Casey Affleck;Michelle Williams ;Kyle Chandler;518;71000;3300;7.9;Drama;;;96;137;18191;33532;46596;29626;11879;4539;1976;1233;888;1834;92452;22834;R;USA
Hell or High Water;2016;12000000;27007844;Chris Pine;Jeff Bridges;Ben Foster;19000;12000;9000;7.7;Crime;Drama;Thriller;88;102;8445;19789;45260;35212;11130;3102;932;475;233;471;88398;10427;R;USA
Doctor Strange;2016;165000000;232641920;Benedict Cumberbatch;Chiwetel Ejiofor;Rachel McAdams;19000;;46000;7.6;Action;Adventure;Fantasy;72;115;38952;51465;102744;83322;32430;10744;3786;1854;1038;2667;202386;42203;PG-13;USA
Tangled;2010;260000000;200807262;Brad Garrett;Donna Murphy;M.C. Gainey;799;553;284;7.8;Animation;Adventure;Comedy;71;124;56575;54688;97207;70947;26805;8530;3043;1396;805;1606;166088;97213;PG;USA
The Dark Knight Rises;2012;250000000;448130642;Tom Hardy;Christian Bale;Joseph Gordon-Levitt;27000;23000;23000;8.4;Action;Thriller;;78;164;380589;341965;281426;134959;50406;20106;9589;5713;4073;11988;842343;143070;PG-13;USA
Captain America: Civil War;2016;250000000;407197282;Robert Downey Jr.;Scarlett Johansson;Chris Evans;21000;19000;11000;7.9;Action;Adventure;Sci-Fi;75;147;81893;90156;117188;79377;32782;12322;5095;2994;1989;7786;264239;43818;PG-13;USA
The Hobbit: The Desolation of Smaug;2013;225000000;258355354;Aidan Turner;Adam Brown;James Nesbitt;5000;972;773;7.9;Adventure;Fantasy;;66;161;97766;101709;153173;95756;39268;15248;6452;3519;2251;4955;343498;74772;PG-13;USA
The Avengers;2012;220000000;623279547;Chris Hemsworth;Robert Downey Jr.;Scarlett Johansson;26000;21000;19000;8.1;Action;Sci-Fi;;69;143;260257;234203;264290;162604;67579;27957;12176;7201;4996;15528;691783;151617;PG-13;USA
Toy Story 3;2010;200000000;414984497;Tom Hanks;John Ratzenberger;Don Rickles;15000;1000;721;8.3;Animation;Adventure;Comedy;92;103;139773;149992;158704;88289;31291;11850;4859;2932;2119;6586;389014;98386;G;USA
Skyfall;2012;200000000;304360277;Albert Finney;Helen McCrory;Rory Kinnear;883;563;393;7.8;Action;Adventure;Thriller;81;143;69286;105160;178610;119630;45168;16321;6682;3706;2378;5440;391158;65929;PG-13;UK
X-Men: Days of Future Past;2014;200000000;233914986;Jennifer Lawrence;Peter Dinklage;Hugh Jackman;34000;22000;20000;8;Action;Adventure;Sci-Fi;74;132;91765;127521;183578;104658;33027;10059;3710;1903;1225;3301;370835;71008;PG-13;USA
Star Trek Into Darkness;2013;190000000;228756232;Benedict Cumberbatch;Bruce Greenwood;Noel Clarke;19000;981;928;7.8;Action;Adventure;Sci-Fi;72;132;59347;81516;136088;87940;32150;11522;4862;2627;1739;3694;293195;54871;PG-13;USA
The Hobbit: An Unexpected Journey;2012;180000000;303001229;Aidan Turner;Adam Brown;James Nesbitt;5000;972;773;7.9;Adventure;Fantasy;;;169;135848;132202;191128;122538;51765;19699;8227;4588;2845;6846;445566;104340;PG-13;USA
Edge of Tomorrow;2014;178000000;100189501;Tom Cruise;Lara Pulver;Noah Taylor;10000;854;509;7.9;Action;Adventure;Sci-Fi;71;113;60383;99596;175961;100724;28982;8145;2858;1368;857;1661;341199;45790;PG-13;USA
Inside Out;2015;175000000;356454367;Amy Poehler;Mindy Kaling;Phyllis Smith;1000;767;384;8.2;Animation;Adventure;Comedy;94;95;87509;113244;119801;67153;24210;8542;3349;1872;1123;3450;244433;79081;PG;USA
Guardians of the Galaxy;2014;170000000;333130696;Bradley Cooper;Vin Diesel;Djimon Hounsou;14000;14000;3000;8.1;Action;Adventure;Sci-Fi;76;121;156606;185326;216876;127878;49009;18501;8326;4772;3243;7714;491689;101957;PG-13;USA
Captain America: The Winter Soldier;2014;170000000;259746958;Scarlett Johansson;Chris Evans;Hayley Atwell;19000;11000;2000;7.8;Action;Adventure;Sci-Fi;70;136;84943;103896;169440;120197;44124;14639;5571;2735;1932;5248;360615;66751;PG-13;USA
Dawn of the Planet of the Apes;2014;170000000;208543795;Gary Oldman;Judy Greer;Kodi Smit-McPhee;10000;2000;884;7.6;Action;Adventure;Drama;79;130;37605;58021;112652;84789;33747;11561;4734;2392;1470;2707;250421;32032;PG-13;USA
Hugo;2011;170000000;73820094;ChloÃ« Grace Moretz;Christopher Lee;Ray Winstone;17000;16000;1000;7.5;Adventure;Drama;Family;83;126;29228;40728;77893;62936;27932;11179;4664;2674;1700;3023;179655;47795;PG;USA
Big Hero 6;2014;165000000;222487711;Damon Wayans Jr.;Daniel Henney;Abraham Benrubi;756;719;562;7.8;Animation;Action;Adventure;74;124;50311;61304;103726;65681;22389;6830;2251;1036;539;1439;187383;58731;PG;USA
How to Train Your Dragon;2010;165000000;217387997;Gerard Butler;America Ferrera;Craig Ferguson;18000;953;759;8.1;Animation;Action;Adventure;74;124;103844;127521;167836;89478;26766;8277;2953;1535;1007;3091;327837;105104;PG;USA
Wreck-It Ralph;2012;165000000;189412677;Jack McBrayer;Sarah Silverman;Joe Lo Truglio;975;931;833;7.7;Animation;Adventure;Comedy;72;124;41980;50262;96477;67934;24894;7748;2724;1190;703;1226;190983;50202;PG;USA
Interstellar;2014;165000000;187991439;Matthew McConaughey;Anne Hathaway;Mackenzie Foy;11000;11000;6000;8.6;Adventure;Drama;Sci-Fi;74;169;394006;291172;199884;103323;40514;17423;8657;5592;4113;10530;682280;128771;PG-13;USA
Inception;2010;160000000;292568851;Leonardo DiCaprio;Tom Hardy;Joseph Gordon-Levitt;29000;27000;23000;8.8;Action;Adventure;Sci-Fi;74;148;584839;485218;304457;130972;46393;20595;10050;6631;5243;15365;1044318;239796;PG-13;USA
X-Men: First Class;2011;160000000;146405371;Jennifer Lawrence;Michael Fassbender;Oliver Platt;34000;13000;1000;7.8;Action;Adventure;Sci-Fi;65;132;64428;96219;200144;129352;41945;12861;4799;2349;1448;3182;382107;80444;PG-13;USA
Mad Max: Fury Road;2015;150000000;153629485;Tom Hardy;Charlize Theron;ZoÃ« Kravitz;27000;9000;943;8.1;Action;Adventure;Sci-Fi;90;120;136194;158403;163494;97218;42636;19505;9932;6743;4930;10516;424435;69670;R;Australia
How to Train Your Dragon 2;2014;145000000;176997107;Gerard Butler;Djimon Hounsou;America Ferrera;18000;3000;953;7.9;Animation;Action;Adventure;76;124;42636;45890;74727;49766;17632;5547;1936;897;586;1373;147074;45334;PG;USA
